"iata"," apt_name","2014passengers","location","metro","country","iso_a3"
"ATL","Hartsfield–Jackson Atlanta International Airport",96178899,"Atlanta, Georgia","Atlanta","United States","USA"
"PEK","Beijing Capital International Airport",86130390,"Chaoyang-Shunyi, Beijing","Beijing","China","CHN"
"LHR","London Heathrow Airport",73408442,"Hillingdon, London","London","United Kingdom","UK"
"HND","Tokyo Haneda Airport",72826862,"Ōta, Tokyo","Tokyo","Japan","JPN"
"LAX","Los Angeles International Airport",70665472,"Los Angeles, California","Los Angeles","United States","USA"
"DXB","Dubai International Airport",70475636,"Garhoud, Dubai","Dubai","United Arab Emirates","ARE"
"ORD","OHare International Airport",70015746,"Chicago, Illinois","Chicago","United States","USA"
"CDG","Paris-Charles de Gaulle",63808796,"Roissy-en-France, Île-de-France","Paris","France","FRA"
"DFW","Dallas/Fort Worth International Airport",63523489,"Dallas-Fort Worth, Texas","Dallas-Fort Worth","United States","USA"
"HKG","Hong Kong International Airport",63148379,"Chek Lap Kok, Hong Kong","Hong Kong","China","CHN"
"FRA","Frankfurt Airport",59566132,"Frankfurt, Hesse","Frankfurt","Germany","DEU"
"CGK","Soekarno-Hatta International Airport",57005406,"Cengkareng, Banten","Yakarta","Indonesia","IDN"
"IST","Istanbul Atatürk Airport",56767108,"Istanbul","Istambul","Turkey","TUR"
"AMS","Amsterdam Airport Schiphol",54978023,"Haarlemmermeer, North Holland","Amsterdam","The Netherlands","NLD"
"CAN","Guangzhou Baiyun International Airport",54780346,"Baiyun-Huadu, Guangzhou, Guangdong","Guangzhou","China","CHN"
"SIN","Singapore Changi Airport",54091802,"Changi","Changi","Singapore","SGP"
"JFK","John F. Kennedy International Airport",53635346,"Queens, New York City, New York","New York","United States","USA"
"DEN","Denver International Airport",53472514,"Denver, Colorado","Denver","United States","USA"
"PVG","Shanghai Pudong International Airport",51651800,"Pudong, Shanghai","Shanghai","China","CHN"
"KUL","Kuala Lumpur International Airport",48932471,"Sepang, Selangor","Kuala Lumpur","Malaysia","MYS"
"SFO","San Francisco International Airport",47114611,"San Mateo County, California","San Francisco","United States","USA"
"BKK","Suvarnabhumi Airport",46423352,"Bang Phli, Samut Prakan","Bangkok","Thailand","THA"
"ICN","Seoul Incheon International Airport",45662322,"Incheon","Seoul-Incheon","Republic of Korea","KOR"
"CLT","Charlotte Douglas International Airport",44333475,"Charlotte, North Carolina","Charlotte","United States","USA"
"LAS","McCarran International Airport",42869517,"Las Vegas, Nevada","Las Vegas","United States","USA"
"PHX","Phoenix Sky Harbor International Airport",42125212,"Phoenix, Arizona","Phoenix","United States","USA"
"MAD","Madrid Barajas Airport",41815261,"Madrid","Madrid","Spain","ESP"
"IAH","George Bush Intercontinental Airport",41194558,"Houston, Texas","Houston","United States","USA"
"MIA","Miami International Airport",40941879,"Miami-Dade County, Florida","Miami","United States","USA"
"GRU","São Paulo-Guarulhos International Airport",39773716,"Guarulhos, São Paulo","São Paulo","Brazil","BRA"
"DEL","Indira Gandhi International Airport",39752819,"Delhi","Delhi","India","IND"
"MUC","Munich Airport",39700515,"Freising, Bavaria","Munich","Germany","DEU"
"SYD","Sydney Kingsford-Smith Airport",38863380,"Mascot, Sydney, New South Wales","Sydney","Australia","AUS"
"YYZ","Toronto Pearson International Airport",38569088,"Mississauga, Ontario","Toronto","Canada","CAN"
"FCO","Leonardo da Vinci–Fiumicino Airport",38506467,"Fiumicino, Lazio","Roma","Italy","ITA"
"LGW","London Gatwick Airport",38105747,"Crawley, West Sussex","London","United Kingdom","UK"
"SHA","Shanghai Hongqiao International Airport",37971135,"Changning-Minhang, Shanghai","Shanghai","China","CHN"
"CTU","Chengdu Shuangliu International Airport",37712357,"Shuangliu, Chengdu, Sichuan","Chengdu","China","CHN"
"BCN","Barcelona–El Prat Airport",37540326,"Barcelona","Barcelona","Spain","ESP"
"SEA","Seattle-Tacoma International Airport",37497941,"Seattle, Washington","Seattle","United States","USA"
"SZX","Shenzhen Baoan International Airport",36272701,"Bao'an, Shenzhen, Guangdong","Shenzhen","China","CHN"
"TPE","Taiwan Taoyuan International Airport",35804465,"Dayuan, Taoyuan City","Taipei","Taiwan (Republic of China)","TWN"
"MCO","Orlando International Airport",35714091,"Orlando, Florida","Orlando","United States","USA"
"EWR","Newark Liberty International Airport",35610759,"Newark, New Jersey","Newark","United States","USA"
"NRT","Narita International Airport",35535206,"Narita, Chiba","Narita","Japan","JPN"
"MSP","Minneapolis/St Paul International Airport",35147083,"St. Paul, Minnesota","Minneapolis","United States","USA"
"BOM","Chhatrapati Shivaji International Airport",34993738,"Mumbai, Maharashtra","Mumbai","India","IND"
"MEX","Benito Juárez International Airport",34255739,"Venustiano Carranza, Mexico City","Mexico City","Mexico","MEX"
"MNL","Ninoy Aquino International Airport",34015169,"Pasay/Parañaque, Metro Manila","Manila","Philippines","PHL"
"DME","Domodedovo International Airport",33108047,"Domodedovo, Moscow Oblast","Moscow","Russia","RUS"
